"numberOfIndividuals","pairsOfCompleteSets","completeSets","interval","intervalAccuracy","moveStartDay","timespan","firstOverlap","lastOverlap","intervalSecs","accuracySecs","individual1"
1,21,22,"16 days","6 hours",14,"336 days","2007-09-19 00:00","2008-08-20 00:00",1382400,21600,"583657A"
1,21,22,"16 days","6 hours",15,"336 days","2007-09-20 00:00","2008-08-21 00:00",1382400,21600,"583657A"
1,21,22,"16 days","6 hours",30,"336 days","2007-09-19 00:00","2008-08-20 00:00",1382400,21600,"583657A"
1,21,22,"16 days","6 hours",31,"336 days","2007-09-20 00:00","2008-08-21 00:00",1382400,21600,"583657A"
1,19,21,"16 days","6 hours",13,"336 days","2007-09-18 00:00","2008-08-19 00:00",1382400,21600,"583657A"
1,19,21,"16 days","6 hours",29,"336 days","2007-09-18 00:00","2008-08-19 00:00",1382400,21600,"583657A"
1,12,14,"16 days","6 hours",11,"224 days","2008-01-06 00:00","2008-08-17 00:00",1382400,21600,"583657A"
1,12,14,"16 days","6 hours",12,"224 days","2008-01-07 00:00","2008-08-18 00:00",1382400,21600,"583657A"
1,12,14,"16 days","6 hours",27,"224 days","2008-01-06 00:00","2008-08-17 00:00",1382400,21600,"583657A"
1,12,14,"16 days","6 hours",28,"224 days","2008-01-07 00:00","2008-08-18 00:00",1382400,21600,"583657A"
1,10,13,"16 days","6 hours",10,"224 days","2008-01-05 00:00","2008-08-16 00:00",1382400,21600,"583657A"
1,10,13,"16 days","6 hours",26,"224 days","2008-01-05 00:00","2008-08-16 00:00",1382400,21600,"583657A"
1,7,8,"16 days","6 hours",0,"112 days","2007-09-05 00:00","2007-12-26 00:00",1382400,21600,"583657A"
1,7,8,"16 days","6 hours",2,"112 days","2007-09-07 00:00","2007-12-28 00:00",1382400,21600,"583657A"
1,7,8,"16 days","6 hours",16,"112 days","2007-09-05 00:00","2007-12-26 00:00",1382400,21600,"583657A"
1,7,8,"16 days","6 hours",18,"112 days","2007-09-07 00:00","2007-12-28 00:00",1382400,21600,"583657A"
1,7,8,"16 days","6 hours",32,"112 days","2007-09-05 00:00","2007-12-26 00:00",1382400,21600,"583657A"
1,6,7,"16 days","6 hours",1,"96 days","2007-09-06 00:00","2007-12-11 00:00",1382400,21600,"583657A"
1,6,7,"16 days","6 hours",17,"96 days","2007-09-06 00:00","2007-12-11 00:00",1382400,21600,"583657A"
